Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_EnableReflectDamageTitle," Enable Reflect Damage"," Enable Reflect Damage"," Enable Reflect Damage"," Enable Reflect Damage","Вкл/Выкл отражение урона"," Enable Reflect Damage"," Enable Reflect Damage"," Enable Reflect Damage"," Enable Reflect Damage"," Activer le renvoi de dommages"," 启用反弹伤害"," Enable Reflect Damage"," Enable Reflect Damage"," 启用反弹伤害"
STR_PvPExitCountdownTitle," PvP Exit Countdown (sec)"," PvP Exit Countdown (sec)"," PvP Exit Countdown (sec)"," PvP Exit Countdown (sec)","Отсчет выхода из PvP (сек.)"," PvP Exit Countdown (sec)"," PvP Exit Countdown (sec)"," PvP Exit Countdown (sec)"," PvP Exit Countdown (sec)"," Compte à rebours de sortie PVP (sec)"," PvP退出倒计时（秒）"," PvP Exit Countdown (sec)"," PvP Exit Countdown (sec)"," PvP退出倒计时（秒）"
STR_RaidExitCountdownTitle," Raid Exit Countdown (sec)"," Raid Exit Countdown (sec)"," Raid Exit Countdown (sec)"," Raid Exit Countdown (sec)","Отсчет выхода из рейда (сек.)"," Raid Exit Countdown (sec)"," Raid Exit Countdown (sec)"," Raid Exit Countdown (sec)"," Raid Exit Countdown (sec)"," Compte à rebours de sortie du Raid (sec)"," 突袭退出倒计时（秒）"," Raid Exit Countdown (sec)"," Raid Exit Countdown (sec)"," 突袭退出倒计时（秒）"
STR_AllowRestrainTargetinPvETitle," Allow Restrain Target in PvE"," Allow Restrain Target in PvE"," Allow Restrain Target in PvE"," Allow Restrain Target in PvE","Разрешить связывать цель (Pve)"," Allow Restrain Target in PvE"," Allow Restrain Target in PvE"," Allow Restrain Target in PvE"," Allow Restrain Target in PvE"," Autoriser l'immobilisation de la cible en PvE"," 允许PvE中的限制目标"," Allow Restrain Target in PvE"," Allow Restrain Target in PvE"," 允许PvE中的限制目标"
STR_AllowRestrainTargetinPvPTitle," Allow Restrain Target in PvP"," Allow Restrain Target in PvP"," Allow Restrain Target in PvP"," Allow Restrain Target in PvP","Разрешить связывать цель (PvP)"," Allow Restrain Target in PvP"," Allow Restrain Target in PvP"," Allow Restrain Target in PvP"," Allow Restrain Target in PvP"," Autoriser l'immobilisation de la cible en PvP"," 允许PvP中的限制目标"," Allow Restrain Target in PvP"," Allow Restrain Target in PvP"," 允许PvP中的限制目标"
STR_AllowRestrainTargetinRaidTitle," Allow Restrain Target in Raid"," Allow Restrain Target in Raid"," Allow Restrain Target in Raid"," Allow Restrain Target in Raid","Разрешить связывать цель (Raid)"," Allow Restrain Target in Raid"," Allow Restrain Target in Raid"," Allow Restrain Target in Raid"," Allow Restrain Target in Raid"," Autoriser l'immobilisation de la cible en Raid"," 允许突袭中的限制目标"," Allow Restrain Target in Raid"," Allow Restrain Target in Raid"," 允许突袭中的限制目标"
STR_ThirdPersonOnlyDriverTitle," Third Person Only Driver"," Third Person Only Driver"," Third Person Only Driver"," Third Person Only Driver","Вид от 3-го лица только для водителя"," Third Person Only Driver"," Third Person Only Driver"," Third Person Only Driver"," Third Person Only Driver"," Conducteur à la troisième personne seulement"," 仅限第三人驾驶"," Third Person Only Driver"," Third Person Only Driver"," 仅限第三人驾驶"
STR_EnablePvPEverywhereTitle," Enable PvP Everywhere"," Enable PvP Everywhere"," Enable PvP Everywhere"," Enable PvP Everywhere","Включить PvP на всей карте"," Enable PvP Everywhere"," Enable PvP Everywhere"," Enable PvP Everywhere"," Enable PvP Everywhere"," Activer le PvP partout"," 所有地方启动PVP"," Enable PvP Everywhere"," Enable PvP Everywhere"," 所有地方启动PVP"
STR_EnablePvEEverywhereTitle," Enable PvE Everywhere"," Enable PvE Everywhere"," Enable PvE Everywhere"," Enable PvE Everywhere","Включить PvE на всей карте"," Enable PvE Everywhere"," Enable PvE Everywhere"," Enable PvE Everywhere"," Enable PvE Everywhere"," Activer le PvE partout"," 所有地方启动PVE"," Enable PvE Everywhere"," Enable PvE Everywhere"," 所有地方启动PVE"
STR_ForceFirstPersonGlobalPvPTitle," Force First Person Global PvP"," Force First Person Global PvP"," Force First Person Global PvP"," Force First Person Global PvP","PvP только от первого лица (глобально)"," Force First Person Global PvP"," Force First Person Global PvP"," Force First Person Global PvP"," Force First Person Global PvP"," Forcer la première personne pour le PvP Global"," 全局PvP强制第一人称"," Force First Person Global PvP"," Force First Person Global PvP"," 全局PvP强制第一人称"
STR_ForceFirstPersonGlobalPvETitle," Force First Person Global PvE"," Force First Person Global PvE"," Force First Person Global PvE"," Force First Person Global PvE","PvE только от первого лица (глобально)"," Force First Person Global PvE"," Force First Person Global PvE"," Force First Person Global PvE"," Force First Person Global PvE"," Forcer la première personne pour le PvE Global"," 全局PvE强制第一人称"," Force First Person Global PvE"," Force First Person Global PvE"," 全局PvE强制第一人称"
STR_BlockChemGasGrenadeOutsidePvPTitle," Block Chem Gas Grenade Outside PvP"," Block Chem Gas Grenade Outside PvP"," Block Chem Gas Grenade Outside PvP"," Block Chem Gas Grenade Outside PvP","Запретить хим. гранату вне PvP"," Block Chem Gas Grenade Outside PvP"," Block Chem Gas Grenade Outside PvP"," Block Chem Gas Grenade Outside PvP"," Block Chem Gas Grenade Outside PvP"," Bloquer la grenade à gaz toxique à l'extérieur du PvP"," PvP外的块状化学气体手榴弹","","",""
STR_AllowedRaidingPlayersTitle," Block Chem Gas Grenade Outside PvP"," Block Chem Gas Grenade Outside PvP"," PvP外的块状化学气体手榴弹","","","","","","","","","","",""
STR_AllowedRaidingPlayersTitle,"STR_AllowedRaidingPlayersTitle","","","","","","","","","","","","",""
STR_LoggingLevelTitle," Logging Level (needs server restart)"," Logging Level (needs server restart)"," Logging Level (needs server restart)"," Logging Level (needs server restart)","Уровень логирования (требуется перезапуск сервера)"," Logging Level (needs server restart)"," Logging Level (needs server restart)"," Logging Level (needs server restart)"," Logging Level (needs server restart)"," Niveau de journalisation (besoin redémarrage serveur)"," 日志记录级别（需要重新启动服务器）"," Logging Level (needs server restart)"," Logging Level (needs server restart)"," 日志记录级别（需要重新启动服务器）"
STR_DisableGiveBloodTargetPvETitle," Disable Give Blood to Target in PvE"," Disable Give Blood to Target in PvE"," Disable Give Blood to Target in PvE"," Disable Give Blood to Target in PvE","Отключить переливание крови другому игроку в PvE зоне"," Disable Give Blood to Target in PvE"," Disable Give Blood to Target in PvE"," Disable Give Blood to Target in PvE"," Disable Give Blood to Target in PvE"," Désactiver donner du sang à la cible dans PvE"," 在PvE中禁用向目标献血"," Disable Give Blood to Target in PvE"," Disable Give Blood to Target in PvE"," 在PvE中禁用向目标献血"
STR_DisableForceFeedPvETitle," Disable Force Feed in PvE"," Disable Force Feed in PvE"," Disable Force Feed in PvE"," Disable Force Feed in PvE","Отключить принудительное кормление в PvE зонах"," Disable Force Feed in PvE"," Disable Force Feed in PvE"," Disable Force Feed in PvE"," Disable Force Feed in PvE"," Désactiver l'alimentation par force en PvE"," 在PvE中禁用强制馈送"," Disable Force Feed in PvE"," Disable Force Feed in PvE"," 在PvE中禁用强制馈送"
STR_DisableForceDrinkPvETitle," Disable Force Drink in PvE"," Disable Force Drink in PvE"," Disable Force Drink in PvE"," Disable Force Drink in PvE","Отключить принудительное употребление напитков в PvE зонах"," Disable Force Drink in PvE"," Disable Force Drink in PvE"," Disable Force Drink in PvE"," Disable Force Drink in PvE"," Désactiver donner à boire par force en PvE"," 在PvE中禁用强制饮料"," Disable Force Drink in PvE"," Disable Force Drink in PvE"," 在PvE中禁用强制饮料"
STR_DisableToxicExposureInPvETitle," Disable Toxic Zone Damage in PvE"," Disable Toxic Zone Damage in PvE"," Disable Toxic Zone Damage in PvE"," Disable Toxic Zone Damage in PvE","Отключить урон от токсичной зоны в PvE"," Disable Toxic Zone Damage in PvE"," Disable Toxic Zone Damage in PvE"," Disable Toxic Zone Damage in PvE"," Disable Toxic Zone Damage in PvE"," Désactiver les dommages en zone toxique en PvE"," 禁用PvE中的有毒区域伤害"," Disable Toxic Zone Damage in PvE"," Disable Toxic Zone Damage in PvE"," 禁用PvE中的有毒区域伤害"
STR_EnableAFKKickTitle," Enable AFK Kick"," Enable AFK Kick"," Enable AFK Kick"," Enable AFK Kick","Включить автоматическое отключение игроков за бездействие"," Enable AFK Kick"," Enable AFK Kick"," Enable AFK Kick"," Enable AFK Kick"," Activer l'AFK Kick"," 启用AFK踢出"," Enable AFK Kick"," Enable AFK Kick"," 启用AFK踢出"
STR_AFKKickTimeoutTitle," AFK Kick Timeout (sec)"," AFK Kick Timeout (sec)"," AFK Kick Timeout (sec)"," AFK Kick Timeout (sec)","Время ожидания перед отключением за бездействие (в секундах)"," AFK Kick Timeout (sec)"," AFK Kick Timeout (sec)"," AFK Kick Timeout (sec)"," AFK Kick Timeout (sec)"," Délai d'attente AFK Kick (sec)"," AFK踢出时间（秒）"," AFK Kick Timeout (sec)"," AFK Kick Timeout (sec)"," AFK踢出时间（秒）"
STR_SafeZoneExitCountdownTitle," SafeZone Exit Countdown (sec)"," SafeZone Exit Countdown (sec)"," SafeZone Exit Countdown (sec)"," SafeZone Exit Countdown (sec)","Отсчет выхода из безопасной зоны (сек.)"," SafeZone Exit Countdown (sec)"," SafeZone Exit Countdown (sec)"," SafeZone Exit Countdown (sec)"," SafeZone Exit Countdown (sec)"," Compte à rebours de sortie de zone de sécurité (sec)"," 安全区出口倒计时（秒）"," SafeZone Exit Countdown (sec)"," SafeZone Exit Countdown (sec)"," 安全区出口倒计时（秒）"
STR_SafeZoneZombieKillPanelTitle," Kill Zombies in Safe Zone"," Kill Zombies in Safe Zone"," Kill Zombies in Safe Zone"," Kill Zombies in Safe Zone","Убивать зомби в безопасной зоне"," Kill Zombies in Safe Zone"," Kill Zombies in Safe Zone"," Kill Zombies in Safe Zone"," Kill Zombies in Safe Zone"," Tuer des zombies dans la zone de sécurité"," 在安全区杀死僵尸"," Kill Zombies in Safe Zone"," Kill Zombies in Safe Zone"," 在安全区杀死僵尸"
STR_SafeZoneZombieKillIntervalTitle," Safe Zone Zombie check interval (secs)"," Safe Zone Zombie check interval (secs)"," Safe Zone Zombie check interval (secs)"," Safe Zone Zombie check interval (secs)","Проверки зомби в безопасной зоне (сек.)"," Safe Zone Zombie check interval (secs)"," Safe Zone Zombie check interval (secs)"," Safe Zone Zombie check interval (secs)"," Safe Zone Zombie check interval (secs)"," Intervalle de contrôle de zombie en zone de sécurité (secs)"," 安全区僵尸检查间隔（秒）)"," Safe Zone Zombie check interval (secs)"," Safe Zone Zombie check interval (secs)"," 安全区僵尸检查间隔（秒）)"
STR_Mi8CreationPanelTite," Enable Mi8 Zone creation"," Enable Mi8 Zone creation"," Enable Mi8 Zone creation"," Enable Mi8 Zone creation","Включить создание зоны Mi8"," Enable Mi8 Zone creation"," Enable Mi8 Zone creation"," Enable Mi8 Zone creation"," Enable Mi8 Zone creation"," Activer la création de la zone Mi8"," 启用Mi8区域创建"," Enable Mi8 Zone creation"," Enable Mi8 Zone creation"," 启用Mi8区域创建"
STR_UH1YPanelTitle," Enable UH1Y Zone creation"," Enable UH1Y Zone creation"," Enable UH1Y Zone creation"," Enable UH1Y Zone creation","Включить создание зоны UH1Y"," Enable UH1Y Zone creation"," Enable UH1Y Zone creation"," Enable UH1Y Zone creation"," Enable UH1Y Zone creation"," Activer la création de la zone UH1Y"," 启用UH1Y区域创建"," Enable UH1Y Zone creation"," Enable UH1Y Zone creation"," 启用UH1Y区域创建"
STR_AirdropCreationPanelTitle," Enable Airdrop Zone creation"," Enable Airdrop Zone creation"," Enable Airdrop Zone creation"," Enable Airdrop Zone creation","Включить аirdrop-зону"," Enable Airdrop Zone creation"," Enable Airdrop Zone creation"," Enable Airdrop Zone creation"," Enable Airdrop Zone creation"," Activer la création de la zone Airdrop"," 启用空投区域创建"," Enable Airdrop Zone creation"," Enable Airdrop Zone creation"," 启用空投区域创建"
STR_DisableArmExplosivePvETitle," Disable Arming,Disarm and Remotetrigger in PvE"," Disable Arming,Disarm and Remotetrigger in PvE"," Disable Arming,Disarm and Remotetrigger in PvE"," Disable Arming,Disarm and Remotetrigger in PvE","Отключить манипуляции с взрывчаткой в PvE зонах"," Disable Arming,Disarm and Remotetrigger in PvE"," Disable Arming,Disarm and Remotetrigger in PvE"," Disable Arming,Disarm and Remotetrigger in PvE"," Disable Arming,Disarm and Remotetrigger in PvE"," Désactiver l'armement, le désarmement et le déclenchement à distance en PvE"," 在PvE中禁用武装、解除武装和远程触发"," Disable Arming,Disarm and Remotetrigger in PvE"," Disable Arming,Disarm and Remotetrigger in PvE"," 在PvE中禁用武装、解除武装和远程触发"
STR_DisableFallDamageTitle," Disable Fall damage"," Disable Fall damage"," Disable Fall damage"," Disable Fall damage","Отключить урон от падения"," Disable Fall damage"," Disable Fall damage"," Disable Fall damage"," Disable Fall damage"," Désactiver les dégâts de chute"," 禁用坠落伤害"," Disable Fall damage"," Disable Fall damage"," 禁用坠落伤害"
STR_EnableKOTHZoneCreationTitle," Enable KOTH Zone creation"," Enable KOTH Zone creation"," Enable KOTH Zone creation"," Enable KOTH Zone creation","Включить создание зоны KOTH"," Enable KOTH Zone creation"," Enable KOTH Zone creation"," Enable KOTH Zone creation"," Enable KOTH Zone creation"," Activer la création de la zone KOTH"," 启用KOTH区域创建"," Enable KOTH Zone creation"," Enable KOTH Zone creation"," 启用KOTH区域创建"
STR_AllowSameZoneTypeEnterNotificationsTitle," Allow same Zone-Type Enter/Exit Notifications"," Allow same Zone-Type Enter/Exit Notifications"," Allow same Zone-Type Enter/Exit Notifications"," Allow same Zone-Type Enter/Exit Notifications","Оповещения: вход/выход в зоны одного типа"," Allow same Zone-Type Enter/Exit Notifications"," Allow same Zone-Type Enter/Exit Notifications"," Allow same Zone-Type Enter/Exit Notifications"," Allow same Zone-Type Enter/Exit Notifications"," Autoriser les notifications d'entrée/sortie du même type de zone"," 允许相同的区域类型输入/退出通知"," Allow same Zone-Type Enter/Exit Notifications"," Allow same Zone-Type Enter/Exit Notifications"," 允许相同的区域类型输入/退出通知"
STR_CircleDrawingWidthTitle," Circle Drawing Width (thickness of lines)"," Circle Drawing Width (thickness of lines)"," Circle Drawing Width (thickness of lines)"," Circle Drawing Width (thickness of lines)","Толщина линиу зоны"," Circle Drawing Width (thickness of lines)"," Circle Drawing Width (thickness of lines)"," Circle Drawing Width (thickness of lines)"," Circle Drawing Width (thickness of lines)"," Largeur du cercle (épaisseur des lignes)"," 圆形绘图宽度（线条粗细）"," Circle Drawing Width (thickness of lines)"," Circle Drawing Width (thickness of lines)"," 圆形绘图宽度（线条粗细）"
STR_DisableAiZoneScanningTitle," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART","Отключить сканирование зон AI (экспериментально для тестирования"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Désactiver l'analyse de la zone Ai (c'est expérimental pour les tests, il vaut mieux le désactiver pour l'instant) Redémarrage Requis"," 禁用Ai区域扫描（这是实验性的测试）最好暂时关闭）需要重新启动"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," Disable Ai Zone Scanning (Thats experimental for testing) better turn it off for now) NEEDS RESTART"," 禁用Ai区域扫描（这是实验性的测试）最好暂时关闭）需要重新启动"
STR_EnableItemSpawnZoneCreationTitle," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)","Включить создание зон вокруг ключевых предметов"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Activer la création de zones de spawn d'objets (peut causer lags/délais si beaucoup d’objets spawn sur la carte)."," 启用项目生成区创建（如果在地图上使用大量生成的项目，可能会导致滞后/延迟)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," Enable Item Spawn Zone Creation (can cause lags/delay if using items that spawn alot on map)"," 启用项目生成区创建（如果在地图上使用大量生成的项目，可能会导致滞后/延迟)"
STR_EnableAIMissionZoneCreationTitle," Enable Zone creation for Dynamic AI Missions"," Enable Zone creation for Dynamic AI Missions"," Enable Zone creation for Dynamic AI Missions"," Enable Zone creation for Dynamic AI Missions","Включить создание зон для динамических миссий AI"," Enable Zone creation for Dynamic AI Missions"," Enable Zone creation for Dynamic AI Missions"," Enable Zone creation for Dynamic AI Missions"," Enable Zone creation for Dynamic AI Missions"," Activation de la création de zones pour les missions dynamiques de l'IA"," 为动态AI任务启用区域创建"," Enable Zone creation for Dynamic AI Missions"," Enable Zone creation for Dynamic AI Missions"," 为动态AI任务启用区域创建"
STR_btnGeneralApply,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Save and Reload","Save and Reload","Save and Reload","Save and Reload","Sauvegarde et rechargement","保存应用","Save and Reload","Save and Reload","保存应用"
STR_DrawOnMapSettingsTitle," == Draw on Map Settings =="," == Draw on Map Settings =="," == Draw on Map Settings =="," == Draw on Map Settings =="," == == Настройки отображения на карте == =="," == Draw on Map Settings =="," == Draw on Map Settings =="," == Draw on Map Settings =="," == Draw on Map Settings =="," == Paramètres Dessin sur la carte  =="," == 绘制地图设置 =="," == Draw on Map Settings =="," == Draw on Map Settings =="," == 绘制地图设置 =="
STR_DrawNamesOnZonesTitle," Draw Zone Names on normal Player Map"," Draw Zone Names on normal Player Map"," Draw Zone Names on normal Player Map"," Draw Zone Names on normal Player Map","Показывать название зон на карте"," Draw Zone Names on normal Player Map"," Draw Zone Names on normal Player Map"," Draw Zone Names on normal Player Map"," Draw Zone Names on normal Player Map"," Dessiner les noms des zones sur la carte normale du joueur"," 在普通玩家地图上绘制区域名称"," Draw Zone Names on normal Player Map"," Draw Zone Names on normal Player Map"," 在普通玩家地图上绘制区域名称"
STR_LB_DrawMiniMapZonesTitle," Lb Master Minimap"," Lb Master Minimap"," Lb Master Minimap"," Lb Master Minimap","Мини-карта Lb Master"," Lb Master Minimap"," Lb Master Minimap"," Lb Master Minimap"," Lb Master Minimap"," Minimap de Lb Master"," Lb主迷你地图"," Lb Master Minimap"," Lb Master Minimap"," Lb主迷你地图"
STR_LB_MiniMapDrawNamesTitle," Lb Master Minimap Zone Names"," Lb Master Minimap Zone Names"," Lb Master Minimap Zone Names"," Lb Master Minimap Zone Names","Названия зон на мини-карте Lb Master"," Lb Master Minimap Zone Names"," Lb Master Minimap Zone Names"," Lb Master Minimap Zone Names"," Lb Master Minimap Zone Names"," Minimap de Lb Master Noms de zone"," Lb主迷你地图区域名称"," Lb Master Minimap Zone Names"," Lb Master Minimap Zone Names"," Lb主迷你地图区域名称"
STR_DrawZonesOnVPPAdminTitle," VPP Admin Map"," VPP Admin Map"," VPP Admin Map"," VPP Admin Map","VPPAdminTools"," VPP Admin Map"," VPP Admin Map"," VPP Admin Map"," VPP Admin Map"," Карта VPPAdminTools"," VPP管理地图"," VPP Admin Map"," VPP Admin Map"," VPP管理地图"
STR_DrawVPPAdminZoneLabelsTitle," VPP Admin Zone Labels"," VPP Admin Zone Labels"," VPP Admin Zone Labels"," VPP Admin Zone Labels","Метки зон VPPAdminTools"," VPP Admin Zone Labels"," VPP Admin Zone Labels"," VPP Admin Zone Labels"," VPP Admin Zone Labels"," VPP Admin Zone Noms de zone"," VPP管理区域标签"," VPP Admin Zone Labels"," VPP Admin Zone Labels"," VPP管理区域标签"
STR_DrawZonesOnCOTTitle," On COT"," On COT"," On COT"," On COT","CommunityOnlineTools"," On COT"," On COT"," On COT"," On COT"," Sur COT"," 关于COT"," On COT"," On COT"," 关于COT"
STR_DrawCOTAdminZoneLabelsTitle," COT Zone Labels"," COT Zone Labels"," COT Zone Labels"," COT Zone Labels","Метки зон CommunityOnlineTools"," COT Zone Labels"," COT Zone Labels"," COT Zone Labels"," COT Zone Labels"," COT Noms de zone"," COT区域标签"," COT Zone Labels"," COT Zone Labels"," COT区域标签"
STR_Expansion2DMarkersTitle," Expansion 2D Markers"," Expansion 2D Markers"," Expansion 2D Markers"," Expansion 2D Markers"," 2D метки Expansion"," Expansion 2D Markers"," Expansion 2D Markers"," Expansion 2D Markers"," Expansion 2D Markers"," Expansion 2D Markers"," 扩展2D标记"," Expansion 2D Markers"," Expansion 2D Markers"," 扩展2D标记"
STR_ExpansiondPvPIconTitle," Expansion 2D PvP Icon"," Expansion 2D PvP Icon"," Expansion 2D PvP Icon"," Expansion 2D PvP Icon"," Иконка 2D PvP Expansion"," Expansion 2D PvP Icon"," Expansion 2D PvP Icon"," Expansion 2D PvP Icon"," Expansion 2D PvP Icon"," Expansion 2D PvP Icône"," 扩展2D PvP图标"," Expansion 2D PvP Icon"," Expansion 2D PvP Icon"," 扩展2D PvP图标"
STR_ExpansiondPvEIconTitle," Expansion 2D PvE Icon"," Expansion 2D PvE Icon"," Expansion 2D PvE Icon"," Expansion 2D PvE Icon"," Иконка 2D PvE Expansion"," Expansion 2D PvE Icon"," Expansion 2D PvE Icon"," Expansion 2D PvE Icon"," Expansion 2D PvE Icon"," Expansion 2D PvE Icône"," 扩展2D PvE图标"," Expansion 2D PvE Icon"," Expansion 2D PvE Icon"," 扩展2D PvE图标"
STR_ExpansiondRaidIconTitle," Expansion 2D Raid Icon"," Expansion 2D Raid Icon"," Expansion 2D Raid Icon"," Expansion 2D Raid Icon"," Иконка 2D рейда Expansion"," Expansion 2D Raid Icon"," Expansion 2D Raid Icon"," Expansion 2D Raid Icon"," Expansion 2D Raid Icon"," Expansion 2D Raid Icône"," 扩展2D 突袭图标"," Expansion 2D Raid Icon"," Expansion 2D Raid Icon"," 扩展2D 突袭图标"
STR_ExpansiondVisualIconTitle," Expansion 2D Visual Icon"," Expansion 2D Visual Icon"," Expansion 2D Visual Icon"," Expansion 2D Visual Icon"," 2D визуальные иконки Expansion"," Expansion 2D Visual Icon"," Expansion 2D Visual Icon"," Expansion 2D Visual Icon"," Expansion 2D Visual Icon"," Expansion 2D Icône Visuel"," 扩展2D视觉图标"," Expansion 2D Visual Icon"," Expansion 2D Visual Icon"," 扩展2D视觉图标"
STR_btnGeneralApply0,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Save and Reload","Save and Reload","Save and Reload","Save and Reload","Sauvegarde et rechargement","应用保存","Save and Reload","Save and Reload","应用保存"
STR_VehicleTitle," == Vehicle =="," == Vehicle =="," == Vehicle =="," == Vehicle =="," == Транспорт =="," == Vehicle =="," == Vehicle =="," == Vehicle =="," == Vehicle =="," == Véhicule =="," == 载具 =="," == Vehicle =="," == Vehicle =="," == 载具 =="
STR_NoVehicleZoneKillOrDestroyDelayTitle," Kill/Destroy Delay (sec)"," Kill/Destroy Delay (sec)"," Kill/Destroy Delay (sec)"," Kill/Destroy Delay (sec)","Задержка убийства/уничтожения (сек.)"," Kill/Destroy Delay (sec)"," Kill/Destroy Delay (sec)"," Kill/Destroy Delay (sec)"," Kill/Destroy Delay (sec)"," Délai de mise à mort/destruction (sec)"," 杀伤/摧毁延迟（秒）"," Kill/Destroy Delay (sec)"," Kill/Destroy Delay (sec)"," 杀伤/摧毁延迟（秒）"
STR_NoVehicleKillPlayerOrDestroyVehicleTitle," Kill Player Or Destroy Vehicle"," Kill Player Or Destroy Vehicle"," Kill Player Or Destroy Vehicle"," Kill Player Or Destroy Vehicle","Убить игрока или уничтожить транспорт"," Kill Player Or Destroy Vehicle"," Kill Player Or Destroy Vehicle"," Kill Player Or Destroy Vehicle"," Kill Player Or Destroy Vehicle"," Tuer le joueur ou détruire le véhicule"," 杀死玩家或摧毁车辆"," Kill Player Or Destroy Vehicle"," Kill Player Or Destroy Vehicle"," 杀死玩家或摧毁车辆"
STR_NoVehicleWarningTextTitle," Warning Text"," Warning Text"," Warning Text"," Warning Text","Текст предупреждения"," Warning Text"," Warning Text"," Warning Text"," Warning Text"," Texte d'avertissement"," 警告文本"," Warning Text"," Warning Text"," 警告文本"
STR_NoVehicleWarningTextValue,"Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Предупреждение: половина времени прошло, покиньте опасную для транспорта зону","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!"," Avertissement : La mi-temps est terminée, sortez de la zone avec le véhicule !","警告：已过一半时间，请带着车辆离开安全区！","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","警告：已过一半时间，请带着车辆离开安全区！"
